indicator_id,geo_level,geo_name,year,period,sex,age_group,education,group_type,group,standardization,value,unit,ci_lower,ci_upper,n,source_ref,source_url,note
smoking_current,city,München,2016,2016,gesamt,gesamt,gesamt,,,beobachtet,18,percent,,,,"Münchner Statistik 3. Quartalsheft 2016, S. 12 (PDF-Seite 14), Grafik 13",https://stadt.muenchen.de/dam/jcr:f24696d1-9f11-4916-abc4-15a6ff7e8b48/mb160301.pdf,"Summe aus täglich (12 %) und gelegentlich (6 %) Rauchenden; Schwerpunktbefragung der Münchner Bürgerinnen und Bürger zur sozialen und gesundheitlichen Lage 2016, gerundete Werte"
smoking_daily,city,München,2016,2016,gesamt,gesamt,gesamt,,,beobachtet,12,percent,,,,"Münchner Statistik 3. Quartalsheft 2016, S. 12 (PDF-Seite 14), Grafik 13",https://stadt.muenchen.de/dam/jcr:f24696d1-9f11-4916-abc4-15a6ff7e8b48/mb160301.pdf,"Schwerpunktbefragung der Münchner Bürgerinnen und Bürger 2016, gerundete Werte"
smoking_occasional,city,München,2016,2016,gesamt,gesamt,gesamt,,,beobachtet,6,percent,,,,"Münchner Statistik 3. Quartalsheft 2016, S. 12 (PDF-Seite 14), Grafik 13",https://stadt.muenchen.de/dam/jcr:f24696d1-9f11-4916-abc4-15a6ff7e8b48/mb160301.pdf,"Schwerpunktbefragung der Münchner Bürgerinnen und Bürger 2016, gerundete Werte"
smoking_former,city,München,2016,2016,gesamt,gesamt,gesamt,,,beobachtet,31,percent,,,,"Münchner Statistik 3. Quartalsheft 2016, S. 12 (PDF-Seite 14), Grafik 13",https://stadt.muenchen.de/dam/jcr:f24696d1-9f11-4916-abc4-15a6ff7e8b48/mb160301.pdf,"Schwerpunktbefragung der Münchner Bürgerinnen und Bürger 2016, gerundete Werte"
smoking_never,city,München,2016,2016,gesamt,gesamt,gesamt,,,beobachtet,51,percent,,,,"Münchner Statistik 3. Quartalsheft 2016, S. 12 (PDF-Seite 14), Grafik 13",https://stadt.muenchen.de/dam/jcr:f24696d1-9f11-4916-abc4-15a6ff7e8b48/mb160301.pdf,"Schwerpunktbefragung der Münchner Bürgerinnen und Bürger 2016, gerundete Werte"
